id_actor,actor_name
1,Indefinido
2,Loretta Devine
3,Kimberly Quinn
4,Rosalind Chao
5,Laura Harrier
6,Skyler Gisondo
7,Daveed Diggs
8,Timothy Olyphant
9,Kevin Kline
10,Chris ODowd
11,Melissa McCarthy
12,Giovanni Ribisi
13,Timm Sharp
14,Troy Garity
15,Mathieu Demy
16,Alexia Landeau
17,Sarah Jones
18,Elisabeth Shue
19,Julie Delpy
20,Shamier Anderson
21,Daniel Dae Kim
22,Toni Collette
23,Anna Kendrick
24,Mayank Parakh
25,Ali Reza
26,Bilal Hussain
27,Atul Kulakarni
28,Saiyami Kher
29,Dia Mirza
30,Nagarjuna Akkineni
31,Bradley Gordon
32,Dayton Sinkia
33,Ivie Okujaye
34,Ifeanyi Williams
35,Taiwo Ajai-Lycett
36,William R. Moses
37,Richard Mofe-Damijo
38,Olu Jacobs
39,Andrés Almeida
40,Héctor Bonilla
41,Rosa María Bianchi
42,Gabriel Nuncio
43,José Carlos Ruiz
44,Verónica Castro
45,Ximena Romo
46,Jesús Zavala
47,Virgina Diop
48,Madior Fall
49,Daniela Scattolin
50,Dylan Magon
51,Beatrice Grannò
52,Haroun Fall
53,Giuseppe Dave Seke
54,Tim Bee
55,Ali Bee
56,Izzy Bee
57,Anil Datt
58,Mayur Vyas
59,Sourav Chakraborty
60,Nandkishore Pandey
61,Dishi Duggal
62,Mahendra Bhatnagar
63,Vidit Kumar
64,Anil Dutt
65,Caitlyn Bairstow
66,Joseph Girgis
67,Michael Adamthwaite
68,Brian Dobson
69,Jesse Inocalla
70,Anna Cummer
71,Cole Howard
72,Travis Turner
73,Austin Abell
74,Ajay Singhal
75,Sanchit Wartak
76,Kanchan
77,Pankaj Kalra
78,Ghanshyam Shukla
79,Bhakti Shalini
80,Mukesh Pandey
81,Rohan
82,Vinod Kulkarni
83,Shailendra Pandey
84,Sabina Malik
85,Shalini
86,Bhakti
87,Vanessa Bauche
88,César Bordón
89,Anna Favella
90,Martín Bello
91,Paulina Dávila
92,Izan Llunas
93,Óscar Jaenada
94,Camila Sodi
95,Juan Pablo Zurita
96,Diego Boneta
97,Alison Pill
98,Jake Lacy
99,Chuck Shamata
100,Sam Waterston
101,John Lithgow
102,Raoul Bhaneja
103,Michael Stuhlbarg
104,Gugu Mbatha-Raw
105,Mark Strong
106,Jessica Chastain
107,Addison Holley
108,Kyle Breitkopf
109,Jacob Ewaniuk
110,Domingo Ambriz
111,Daniel Haro
112,Sal Lopez
113,Daniel Villarreal
114,Cary-Hiroyuki Tagawa
115,Evelina Fernandez
116,Danny De La Paz
117,Pepe Serna
118,William Forsythe
119,Edward James Olmos
120,Rahul Singh
121,Paresh Ganatra
122,Vijay Raaz
123,Shenaz Treasury
124,Poorna Jagannathan
125,Kunaal Roy Kapur
126,Vir Das
127,Imran Khan
128,Jehan Manekshaw
129,Danish Husain
130,Kitu Gidwani
131,Norma Lobo
132,Jyoti Pawar
133,Aasha Pawar
134,Prateik Babbar
135,Kriti Malhotra
136,Monica Dogra
137,Aamir Khan
138,Sohail Khan
139,Arbaaz Khan
140,Ratna Pathak Shah
141,Ayaz Khan
142,Manjari Fadnis
143,Genelia DSouza
144,Aditya Lakhia
145,Rajesh Vivek
146,Rajendranath Zutshi
147,Yashpal Sharma
148,Raghuvir Yadav
149,Kulbhushan Kharbanda
150,Paul Blackthorne
151,Rachel Shelley
152,Gracy Singh
153,Ashutosh Gowariker
154,Vishal Om Prakash
155,Aamir Bashir
156,Farrukh Jaffar
157,Shalini Vatsa
158,Sitaram Panchal
159,Naseeruddin Shah
160,Nawazuddin Siddiqui
161,Malaika Shenoy
162,Omkar Das Manikpuri
163,M.K. Raina
164,Girija Oak
165,Vipin Sharma
166,Tisca Chopra
167,Tanay Chheda
168,Darsheel Safary
169,Manav Kaul
170,Shefali Shah
171,Aditi Rao Hydari
172,Konkona Sen Sharma
173,Inayat Verma
174,Abhishek Banerjee
175,Nushrat Bharucha
176,Armaan Ralhan
177,Jaideep Ahlawat
178,Fatima Sana Shaikh
179,Jennifer Coolidge
180,Flea
181,Vincent Rodriguez III
182,Annie Potts
183,Haley Tju
184,Tony Hale
185,Jonathan Van Ness
186,Brett Gelman
187,Mary Lambert
188,Michael J. Woodard
189,Joshua Graham
190,Carling Doubt
191,Dan Petronijevic
192,Jason Deline
193,Will Bowes
194,Sharjil Rasool
195,Jaimee Joe Gonzaga
196,Deven Christian Mack
197,Margarita Valderrama
198,Jonah Wineberg
199,Jacob Craner
200,Nakia Burrise
201,Laila Berzins
202,Benjamin Pronsky
203,Greg Chun
204,Lisa Fuson
205,Cassandra Morris
206,Kirsten Day
207,Cassidy Naber
208,America Young
209,Bruce Gray
210,Jonathan Hyde
211,Doug Jones
212,Leslie Hope
213,Burn Gorman
214,Jim Beaver
215,Charlie Hunnam
216,Tom Hiddleston
217,Mia Wasikowska
218,Corinne Foxx
219,Jonathan Kite
220,Porscha Coleman
221,Kyla-Drew
222,David Alan Grier
223,Jamie Foxx
224,Fortune Feimster
225,London Hughes
226,David Spade
227,Evan Brinkman
228,Jon Freda
229,Ebbe Bassey
230,Justus Esiri
231,Stephanie Okereke
232,Genevieve Nnaji
233,Jimmy Jean-Louis
234,Vivica A. Fox
235,Isaiah Washington
236,Jameson Blake
237,Cai Cortez
238,Kakai Bautista
239,Irma Adlawan
240,Carmina Villaroel
241,Dominic Ochoa
242,Belle Mariano
243,Gillian Vicencio
244,Charlie Dizon
245,Alexa Ilacad
246,Anton Wichers
247,Julia Strowski
248,Katrin Pollitt
249,Ina Geraldine Guy
250,Dennis Kyere
251,Julius Nitschkoff
252,Helen Schneider
253,Trystan Pütter
254,Yalany Marschner
255,Alexandra Pfeifer
256,Ju Wu-jae
257,Kwak Jung-eun
258,Han Hye-jin
259,Kim Sook
260,Seo Jang-hoon
261,Alistair Petrie
262,Christian McKay
263,Stephen Mangan
264,Natalie Dormer
265,David Calder
266,Pierfrancesco Favino
267,Alexandra Maria Lara
268,Olivia Wilde
269,Daniel Brühl
270,Chris Hemsworth
271,Bill Oberst Jr.
272,Ramiz Monsef
273,Ally Ioannides
274,Katie Aselton
275,Jamie Dornan
276,Anthony Mackie
277,Goran Kostic
278,Val Maloku
279,Michael McElhatton
280,Shira Haas
281,Iddo Goldberg
282,Efrat Dor
283,Timothy Radford
284,Johan Heldenbergh
285,Gopal Bidari
286,Chris Sturgeon
287,Rich Skidmore
288,Hans Marrero
289,Max Wright
290,Olivia Draguicevich
291,Reiley McClendon
292,Brianne Howey
293,Cassidy Gifford
294,Andrew Wilson
295,Reem Shaikh
296,Eklavyey Kashyap
297,Nayan Shukla
298,Zoa Morani
299,Kamini Khanna
300,Niki Walia
301,Jhataleka
302,Anmol Thakeria Dhillon
303,Pa Jimi Solanke
304,Rotimi Salami
305,Jibola Dabo
306,Segun Arinze
307,Toyin Aimakhu
308,Ken Erics
309,Sola Sobowale
310,Yemi Blaq
311,Omotola Jalade-Ekeinde
312,Jide Kosoko
313,TT The Artist
314,Tsu Terry
315,Mighty Mark
316,Uneek
317,Ayahi Takagaki
318,Yuki Kaji
319,Yuichi Nakamura
320,Jun Fukuyama
321,Daisuke Ono
322,Hiroshi Kamiya
323,Kana Hanazawa
324,Mamoru Miyano
325,Miyuki Sawashiro
326,Toshiyuki Toyonaga
327,Masaya Onosaka
328,Masane Tsukayama
329,Razor Ramon HG
330,Razor Ramon RG
331,Kendo Kobayashi
332,Shuichi Ikeda
333,Saori Hayami
334,Tomohiro Kaku
335,M・A・O
336,Garth Brooks
337,Liza Weil
338,Sean Gunn
339,Edward Herrmann
340,Kelly Bishop
341,Yanic Truesdale
342,Keiko Agena
343,Scott Patterson
344,Alexis Bledel
345,Lauren Graham
346,Koji Yusa
347,Seiro Ogino
348,Makoto Furukawa
349,Shoya Chiba
350,Megumi Ogata
351,Yuuichirou Umehara
352,Junya Enoki
353,Akira Sekine
354,Shiki Aoki
355,Haruka Shiraishi
356,Alexa Chung
357,Tan France
358,Jonna Walsh
359,Nancy Linehan Charles
360,Ashley Holliday Tavares
361,Ellen Wroe
362,Lorenzo James Henrie
363,Claudia Ferri
364,Walter Fauntleroy
365,Chris Browning
366,Brett Zimmerman
367,Amber Midthunder
368,Wesam Hanna
369,Sara Abi Kanaan
370,Carlos Azar
371,Bassem Moughnie
372,Aimée Sayah
373,Ward El Kal
374,Paul Haapaniemi
375,Scott Whyte
376,Landon McDonald
377,Todd Haberkorn
378,Reba Buhr
379,Jamieson Price
380,Carlos Salazar
381,Kieran Walton
382,Kami Desilets
383,Robyn Slade
384,Miranda Pointer
385,Jess Robinson
386,Esther Coles
387,Edward Moloney
388,Ashton Frank
389,Adam Longworth
390,Dylan Naden
391,Bradley Bissett
392,Twinkle Jaiswal
393,Max Fincham
394,Setsuko Karasuma
395,Shunsuke Tanaka
396,Shinya Niiro
397,Yui Uemura
398,Sara Minami
399,Tetsushi Tanaka
400,Anne Suzuki
401,Yoko Maki
402,Honami Sato
403,Kiko Mizuhara
404,Chikao Otsuka
405,Sayaka Aoki
406,Rumi Ochiai
